n, trunc, l, norm, time, decay, comms
1024, 200, 205, 0.0007191006049664939, 0.09292574319988489, 100, 1
2048, 200, 205, 0.0008405149840196025, 0.2209865809418261, 100, 1
4096, 200, 205, 0.0008865882546001957, 0.822176078800112, 100, 1
8192, 200, 205, 0.0009358236617261761, 3.2809765497222543, 100, 1
16384, 200, 205, 0.0009555466370014809, 12.855948579031974, 100, 1
32768, 200, 205, 0.0009635246056124425, 49.67941895592958, 100, 1
65536, 200, 205, 0.0009632131439677449, 199.05020328611135, 100, 1
